date,brand,channel,campaign,adset,creative_id,creative_name,impressions,clicks,spend,conversions,revenue,ctr,cpc,cpa,roas
2025-03-01,BOH,Meta,BOH_봄신메뉴_전환,20-35_여성_서울,cr001,BOH 봄 신메뉴 배너,42000,1260,283000,62,1416000,3.00,224,4564,500
2025-03-05,BOH,Meta,BOH_봄신메뉴_전환,25-40_남성_전국,cr001,BOH 봄 신메뉴 배너,38000,1140,255000,58,1298000,3.00,223,4397,509
2025-03-10,BOH,Meta,BOH_봄신메뉴_전환,20-35_여성_서울,cr001,BOH 봄 신메뉴 배너,45000,1350,312000,67,1536000,3.00,231,4657,492
2025-03-15,BOH,Google,BOH_봄신메뉴_검색,키워드_브랜드,cr001,BOH 봄 신메뉴 배너,32000,800,203000,48,1050000,2.50,253,4229,517
2025-03-20,BOH,Google,BOH_봄신메뉴_검색,키워드_경쟁사,cr001,BOH 봄 신메뉴 배너,35000,875,234000,55,1160000,2.50,267,4254,495
2025-03-25,BOH,Google,BOH_봄신메뉴_검색,키워드_일반,cr001,BOH 봄 신메뉴 배너,31000,775,183000,42,990000,2.50,236,4357,541
2025-04-01,BOH,Meta,BOH_브랜드영상_인지,20-45_전체_전국,cr002,BOH 브랜드 영상 15s,70000,1820,400000,104,2700000,2.60,219,3846,675
2025-04-05,BOH,Meta,BOH_브랜드영상_인지,20-35_여성_수도권,cr002,BOH 브랜드 영상 15s,75000,1950,430000,112,2900000,2.60,220,3839,674
2025-04-10,BOH,Meta,BOH_브랜드영상_인지,25-40_남성_전국,cr002,BOH 브랜드 영상 15s,65000,1690,370000,96,2500000,2.60,218,3854,676
2025-04-15,BOH,YouTube,BOH_브랜드영상_인스트림,18-45_전체_전국,cr002,BOH 브랜드 영상 15s,128000,1280,252000,67,1750000,1.00,196,3761,694
2025-04-20,BOH,YouTube,BOH_브랜드영상_인스트림,20-35_전체_수도권,cr002,BOH 브랜드 영상 15s,135000,1350,265000,70,1820000,1.00,196,3785,686
2025-04-25,BOH,YouTube,BOH_브랜드영상_인스트림,25-45_전체_전국,cr002,BOH 브랜드 영상 15s,117000,1170,233000,61,1630000,1.00,199,3819,699
2025-05-01,BOH,Meta,BOH_5월할인_전환,20-35_여성_서울,cr003,BOH 할인 프로모션,58000,2030,326000,136,3266000,3.50,160,2397,1001
2025-05-03,BOH,Meta,BOH_5월할인_전환,25-40_남성_전국,cr003,BOH 할인 프로모션,52000,1820,294000,122,2928000,3.50,161,2409,996
2025-05-05,BOH,Meta,BOH_5월할인_전환,20-35_전체_수도권,cr003,BOH 할인 프로모션,65000,2275,360000,150,3606000,3.50,158,2400,1002
2025-05-02,BOH,TikTok,BOH_5월할인_숏폼,18-24_전체_전국,cr003,BOH 할인 프로모션,96000,2880,252000,118,2714000,3.00,87,2135,1077
2025-05-04,BOH,TikTok,BOH_5월할인_숏폼,18-30_전체_전국,cr003,BOH 할인 프로모션,98000,2940,254000,120,2744000,3.00,86,2116,1080
