날짜,year,Month,요일,브랜드,Product,Retail,매체,상품유형,목적,소재타입,캠페인,광고세트,광고명,노출수,클릭수,조회수,CTR(%),광고비(₩),장바구니,구매수,구매전환값(₩),ROAS,CPA(₩),메모
2025-02-28,2025,2,금,BOH,,Qoo10,Google,DA,유입,이미지,本格的ハリケアセット_メガ割,本格的ハリケアセット_メガ割,本格的ハリケアセット_メガ割,"155,465","2,414",0,1.55,"381,724",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,Google,DA,유입,이미지,スペシャル毛穴ホームケアセット_メガ割,スペシャル毛穴ホームケアセット_メガ割,スペシャル毛穴ホームケアセット_メガ割,"229,973","3,381",0,1.47,"559,162",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,Google,DA,유입,이미지,企画セット_メガ割,企画セット_メガ割,企画セット_メガ割,"219,421","3,728",0,1.70,"608,698",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,Meta,DA,유입,이미지,企画セット_2_メガ割,企画セット_2_メガ割,企画セット_2_メガ割,619,1,0,0.16,"5,522",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,Meta,DA,유입,이미지,本格的ハリケアセット_1_メガ割,本格的ハリケアセット_1_メガ割,本格的ハリケアセット_1_メガ割,"1,125",11,0,0.98,"7,392",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,Meta,DA,유입,이미지,企画セット_1_メガ割,企画セット_1_メガ割,企画セット_1_メガ割,"1,307",16,0,1.22,"10,954",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,Meta,DA,유입,이미지,本格的ハリケアセット_3_メガ割,本格的ハリケアセット_3_メガ割,本格的ハリケアセット_3_メガ割,"3,414",37,0,1.08,"25,626",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,Meta,DA,유입,이미지,スペシャル毛穴ホームケアセット_2_メガ割,スペシャル毛穴ホームケアセット_2_メガ割,スペシャル毛穴ホームケアセット_2_メガ割,"11,131",122,0,1.10,"112,857",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,Meta,DA,유입,이미지,本格的ハリケアセット_2_メガ割,本格的ハリケアセット_2_メガ割,本格的ハリケアセット_2_メガ割,"1,778",22,0,1.24,"13,492",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,Meta,DA,유입,이미지,スペシャル毛穴ホームケアセット_1_メガ割,スペシャル毛穴ホームケアセット_1_メガ割,スペシャル毛穴ホームケアセット_1_メガ割,549,5,0,0.91,"4,252",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,Meta,DA,유입,이미지,スペシャル毛穴ホームケアセット_3_メガ割,スペシャル毛穴ホームケアセット_3_メガ割,スペシャル毛穴ホームケアセット_3_メガ割,760,5,0,0.66,"7,548",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,LINE AD,DA,유입,이미지,本格的ハリケアセット_3_メガ割,本格的ハリケアセット_3_メガ割,本格的ハリケアセット_3_メガ割,"15,622",213,0,1.36,"39,419",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,LINE AD,DA,유입,이미지,本格的ハリケアセット_1_メガ割,本格的ハリケアセット_1_メガ割,本格的ハリケアセット_1_メガ割,314,1,0,0.32,245,0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,LINE AD,DA,유입,이미지,スペシャル毛穴ホームケアセット_1_メガ割,スペシャル毛穴ホームケアセット_1_メガ割,スペシャル毛穴ホームケアセット_1_メガ割,"1,688",13,0,0.77,"2,761",0,0,0,0%,0,
2025-02-28,2025,2,금,BOH,,Qoo10,LINE AD,DA,유입,이미지,企画セット_2_メガ割,企画セット_2_メガ割,企画セット_2_メガ割,"3,353",54,0,1.61,"13,169",0,0,0,0%,0,
