,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event,code,제품,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1200967033,NAD아이크림(더블),07월 30일,"4,771",34,1,0.71%,0.02%,,,06월 29일,,,,,,,,04월 29일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1193919062,콜겔 미스트,07월 30일,759,44,3,5.80%,0.40%,,,06월 29일,"2,918",37,5,1.27%,0.17%,,,04월 29일,"2,417",50,0,2.07%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733766,3D리필기획 1&2,07월 30일,"4,004",64,7,1.60%,0.17%,,,06월 29일,"6,652",50,10,0.75%,0.15%,,,04월 29일,854,72,20,8.43%,2.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733836,콜라겐크림(+더블),07월 30일,235,40,4,17.02%,1.70%,,,06월 29일,173,19,5,10.98%,2.89%,,,04월 29일,258,41,17,15.89%,6.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1184844785,NAD단품(+세트),07월 30일,"1,243",36,7,2.90%,0.56%,,,06월 29일,"2,228",39,4,1.75%,0.18%,,,04월 29일,357,33,7,9.24%,1.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733776,아이크림,07월 30일,223,25,7,11.21%,3.14%,,,06월 29일,"1,385",23,9,1.66%,0.65%,,,04월 29일,269,45,12,16.73%,4.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1200967033,NAD아이크림(더블),07월 31일,"4,609",43,1,0.93%,0.02%,,,06월 30일,,,,,,,,04월 30일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1193919062,콜겔 미스트,07월 31일,657,42,5,6.39%,0.76%,,,06월 30일,"3,815",33,3,0.87%,0.08%,,,04월 30일,"2,938",128,7,4.36%,0.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733766,3D리필기획 1&2,07월 31일,"4,411",60,10,1.36%,0.23%,,,06월 30일,"7,147",42,5,0.59%,0.07%,,,04월 30일,888,66,10,7.43%,1.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733836,콜라겐크림(+더블),07월 31일,232,43,7,18.53%,3.02%,,,06월 30일,216,30,6,13.89%,2.78%,,,04월 30일,292,40,10,13.70%,3.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1184844785,NAD단품(+세트),07월 31일,848,37,5,4.36%,0.59%,,,06월 30일,"2,960",33,4,1.11%,0.14%,,,04월 30일,379,21,2,5.54%,0.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1043733776,아이크림,07월 31일,248,25,2,10.08%,0.81%,,,06월 30일,"1,772",19,5,1.07%,0.28%,,,04월 30일,310,50,10,16.13%,3.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
