,,,,,,,,,,,,,,,,,,,,,,,,
event,code,제품,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율
,1189084084,탕후루 딥글레이즈,07월 30일,354,37,8,10.45%,2.26%,,,06월 29일,219,39,11,17.81%,5.02%,,,04월 29일,194,21,6,10.82%,3.09%
,1145455669,립 듀오 세트,07월 30일,3,0,0,0.00%,0.00%,,,06월 29일,"1,854",5,0,0.27%,0.00%,,,04월 29일,53,3,0,5.66%,0.00%
,1139779066,컬러커버틴트,07월 30일,881,181,29,20.54%,3.29%,,,06월 29일,"2,186",84,16,3.84%,0.73%,,,04월 29일,588,79,12,13.44%,2.04%
,1082531220,쉐딩스틱,07월 30일,362,40,10,11.05%,2.76%,,,06월 29일,"2,258",39,3,1.73%,0.13%,,,04월 29일,176,26,7,14.77%,3.98%
,1082531222,애교살 메이커,07월 30일,188,25,5,13.30%,2.66%,,,06월 29일,99,17,2,17.17%,2.02%,,,04월 29일,114,11,4,9.65%,3.51%
,1189084084,탕후루 딥글레이즈,07월 31일,463,46,4,9.94%,0.86%,,,06월 30일,283,51,10,18.02%,3.53%,,,04월 30일,197,20,5,10.15%,2.54%
,1145455669,립 듀오 세트,07월 31일,2,0,0,0.00%,0.00%,,,06월 30일,"2,271",20,0,0.88%,0.00%,,,04월 30일,89,1,0,1.12%,0.00%
,1139779066,컬러커버틴트,07월 31일,"1,093",185,34,16.93%,3.11%,,,06월 30일,"2,248",85,10,3.78%,0.44%,,,04월 30일,516,62,11,12.02%,2.13%
,1082531220,쉐딩스틱,07월 31일,450,42,4,9.33%,0.89%,,,06월 30일,"2,746",39,6,1.42%,0.22%,,,04월 30일,171,25,3,14.62%,1.75%
,1082531222,애교살 메이커,07월 31일,166,15,5,9.04%,3.01%,,,06월 30일,94,12,0,12.77%,0.00%,,,04월 30일,93,12,1,12.90%,1.08%
2608 MEGAPO,1189084084,탕후루 딥글레이즈,08월 01일,"1,553",147,65,9.47%,4.19%,,2607 MEGAPO,07월 01일,523,94,37,17.97%,7.07%,,2605 MEGAPO,05월 01일,387,39,13,10.08%,3.36%
2608 MEGAPO,1145455669,립 듀오 세트,08월 01일,1,0,0,0.00%,0.00%,,2607 MEGAPO,07월 01일,"2,410",58,26,2.41%,1.08%,,2605 MEGAPO,05월 01일,175,32,8,18.29%,4.57%
2608 MEGAPO,1139779066,컬러커버틴트,08월 01일,"3,228",518,261,16.05%,8.09%,,2607 MEGAPO,07월 01일,"2,895",289,137,9.98%,4.73%,,2605 MEGAPO,05월 01일,996,221,119,22.19%,11.95%
2608 MEGAPO,1082531220,쉐딩스틱,08월 01일,"1,752",94,48,5.37%,2.74%,,2607 MEGAPO,07월 01일,"3,638",167,59,4.59%,1.62%,,2605 MEGAPO,05월 01일,383,77,38,20.10%,9.92%
2608 MEGAPO,1082531222,애교살 메이커,08월 01일,344,55,32,15.99%,9.30%,,2607 MEGAPO,07월 01일,276,46,21,16.67%,7.61%,,2605 MEGAPO,05월 01일,182,30,13,16.48%,7.14%
2608 MEGAPO,1189084084,탕후루 딥글레이즈,08월 02일,"2,295",102,40,4.44%,1.74%,,2607 MEGAPO,07월 02일,455,64,26,14.07%,5.71%,,2605 MEGAPO,05월 02일,240,24,4,10.00%,1.67%
2608 MEGAPO,1145455669,립 듀오 세트,08월 02일,2,0,0,0.00%,0.00%,,2607 MEGAPO,07월 02일,228,19,7,8.33%,3.07%,,2605 MEGAPO,05월 02일,83,11,1,13.25%,1.20%
2608 MEGAPO,1139779066,컬러커버틴트,08월 02일,"6,567",419,187,6.38%,2.85%,,2607 MEGAPO,07월 02일,"1,201",219,79,18.23%,6.58%,,2605 MEGAPO,05월 02일,639,118,49,18.47%,7.67%
2608 MEGAPO,1082531220,쉐딩스틱,08월 02일,"2,097",91,40,4.34%,1.91%,,2607 MEGAPO,07월 02일,735,119,49,16.19%,6.67%,,2605 MEGAPO,05월 02일,306,52,18,16.99%,5.88%
2608 MEGAPO,1082531222,애교살 메이커,08월 02일,312,48,17,15.38%,5.45%,,2607 MEGAPO,07월 02일,210,24,11,11.43%,5.24%,,2605 MEGAPO,05월 02일,166,26,9,15.66%,5.42%
2608 MEGAPO,1189084084,탕후루 딥글레이즈,08월 03일,"1,728",76,27,4.40%,1.56%,,2607 MEGAPO,07월 03일,377,63,30,16.71%,7.96%,,2605 MEGAPO,05월 03일,214,20,4,9.35%,1.87%
2608 MEGAPO,1145455669,립 듀오 세트,08월 03일,1,0,0,0.00%,0.00%,,2607 MEGAPO,07월 03일,191,26,12,13.61%,6.28%,,2605 MEGAPO,05월 03일,92,6,1,6.52%,1.09%
2608 MEGAPO,1139779066,컬러커버틴트,08월 03일,"1,978",324,200,16.38%,10.11%,,2607 MEGAPO,07월 03일,870,157,74,18.05%,8.51%,,2605 MEGAPO,05월 03일,634,117,45,18.45%,7.10%
2608 MEGAPO,1082531220,쉐딩스틱,08월 03일,"1,204",48,22,3.99%,1.83%,,2607 MEGAPO,07월 03일,457,74,35,16.19%,7.66%,,2605 MEGAPO,05월 03일,264,33,12,12.50%,4.55%
2608 MEGAPO,1082531222,애교살 메이커,08월 03일,225,37,18,16.44%,8.00%,,2607 MEGAPO,07월 03일,178,23,8,12.92%,4.49%,,2605 MEGAPO,05월 03일,147,17,7,11.56%,4.76%
2608 MEGAPO,1189084084,탕후루 딥글레이즈,08월 04일,"1,337",111,35,8.30%,2.62%,,2607 MEGAPO,07월 04일,552,72,24,13.04%,4.35%,,2605 MEGAPO,05월 04일,211,26,5,12.32%,2.37%
2608 MEGAPO,1145455669,립 듀오 세트,08월 04일,2,0,0,0.00%,0.00%,,2607 MEGAPO,07월 04일,227,20,8,8.81%,3.52%,,2605 MEGAPO,05월 04일,99,12,1,12.12%,1.01%
2608 MEGAPO,1139779066,컬러커버틴트,08월 04일,"1,306",251,101,19.22%,7.73%,,2607 MEGAPO,07월 04일,969,169,72,17.44%,7.43%,,2605 MEGAPO,05월 04일,"1,464",199,61,13.59%,4.17%
2608 MEGAPO,1082531220,쉐딩스틱,08월 04일,"1,306",251,101,19.22%,7.73%,,2607 MEGAPO,07월 04일,630,100,47,15.87%,7.46%,,2605 MEGAPO,05월 04일,281,34,14,12.10%,4.98%
2608 MEGAPO,1082531222,애교살 메이커,08월 04일,296,45,14,15.20%,4.73%,,2607 MEGAPO,07월 04일,193,27,6,13.99%,3.11%,,2605 MEGAPO,05월 04일,169,17,7,10.06%,4.14%
2608 MEGAPO,1189084084,탕후루 딥글레이즈,08월 05일,623,86,45,13.80%,7.22%,,2607 MEGAPO,07월 05일,479,75,34,15.66%,7.10%,,2605 MEGAPO,05월 05일,214,29,14,13.55%,6.54%
2608 MEGAPO,1145455669,립 듀오 세트,08월 05일,5,0,0,0.00%,0.00%,,2607 MEGAPO,07월 05일,224,26,9,11.61%,4.02%,,2605 MEGAPO,05월 05일,81,6,0,7.41%,0.00%
2608 MEGAPO,1139779066,컬러커버틴트,08월 05일,850,178,69,20.94%,8.12%,,2607 MEGAPO,07월 05일,926,180,64,19.44%,6.91%,,2605 MEGAPO,05월 05일,"1,471",181,80,12.30%,5.44%
