,,,,,,,,,,,,,,,,,,,,,,,,
event,code,제품,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율
,1210215367,파데브러시미니듀오,07월 30일,441,52,2,11.79%,0.45%,,,06월 29일,,,,,,,,04월 29일,,,,,
,1207286666,래스팅 글로우 스틱,07월 30일,708,93,17,13.14%,2.40%,,,06월 29일,216,26,3,12.04%,1.39%,,,04월 29일,,,,,
,1199698301,글레이즈 글로스,07월 30일,119,8,0,6.72%,0.00%,,,06월 29일,806,5,1,0.62%,0.12%,,,04월 29일,,,,,
,1141569521,심리스 파데,07월 30일,637,64,17,10.05%,2.67%,,,06월 29일,"2,499",65,12,2.60%,0.48%,,,04월 29일,798,96,21,12.03%,2.63%
,1040221567,소블아,07월 30일,"2,663",319,32,11.98%,1.20%,,,06월 29일,"4,713",241,43,5.11%,0.91%,,,04월 29일,"1,291",137,14,10.61%,1.08%
,1048694474,파데브러시,07월 30일,970,159,24,16.39%,2.47%,,,06월 29일,"1,816",152,22,8.37%,1.21%,,,04월 29일,830,142,17,17.11%,2.05%
,1210215367,파데브러시미니듀오,07월 31일,721,83,5,11.51%,0.69%,,,06월 30일,,,,,,,,04월 30일,,,,,
,1207286666,래스팅 글로우 스틱,07월 31일,769,101,13,13.13%,1.69%,,,06월 30일,502,69,5,13.75%,1.00%,,,04월 30일,,,,,
,1199698301,글레이즈 글로스,07월 31일,120,9,2,7.50%,1.67%,,,06월 30일,"1,164",14,1,1.20%,0.09%,,,04월 30일,,,,,
,1141569521,심리스 파데,07월 31일,"1,424",69,10,4.85%,0.70%,,,06월 30일,"2,877",76,18,2.64%,0.63%,,,04월 30일,606,63,11,10.40%,1.82%
,1040221567,소블아,07월 31일,"3,623",400,44,11.04%,1.21%,,,06월 30일,"5,099",255,37,5.00%,0.73%,,,04월 30일,"1,472",150,19,10.19%,1.29%
,1048694474,파데브러시,07월 31일,954,135,14,14.15%,1.47%,,,06월 30일,"2,282",168,16,7.36%,0.70%,,,04월 30일,859,125,10,14.55%,1.16%
2608 MEGAPO,1210215367,파데브러시미니듀오,08월 01일,"4,356","1,418",445,32.55%,10.22%,,2607 MEGAPO,07월 01일,,,,,,,2605 MEGAPO,05월 01일,,,,,
2608 MEGAPO,1207286666,래스팅 글로우 스틱,08월 01일,"2,117",389,126,18.38%,5.95%,,2607 MEGAPO,07월 01일,"2,939",608,205,20.69%,6.98%,,2605 MEGAPO,05월 01일,,,,,
2608 MEGAPO,1199698301,글레이즈 글로스,08월 01일,310,25,14,8.06%,4.52%,,2607 MEGAPO,07월 01일,"2,137",62,5,2.90%,0.23%,,2605 MEGAPO,05월 01일,,,,,
2608 MEGAPO,1141569521,심리스 파데,08월 01일,"3,124",276,117,8.83%,3.75%,,2607 MEGAPO,07월 01일,"4,436",316,127,7.12%,2.86%,,2605 MEGAPO,05월 01일,"1,184",213,74,17.99%,6.25%
2608 MEGAPO,1040221567,소블아,08월 01일,"12,863","1,523",566,11.84%,4.40%,,2607 MEGAPO,07월 01일,"9,185",712,267,7.75%,2.91%,,2605 MEGAPO,05월 01일,"2,332",263,85,11.28%,3.64%
2608 MEGAPO,1048694474,파데브러시,08월 01일,"2,246",464,137,20.66%,6.10%,,2607 MEGAPO,07월 01일,"3,929",826,288,21.02%,7.33%,,2605 MEGAPO,05월 01일,"2,072",291,65,14.04%,3.14%
2608 MEGAPO,1210215367,파데브러시미니듀오,08월 02일,"4,498","1,107",370,24.61%,8.23%,,2607 MEGAPO,07월 02일,,,,,,,2605 MEGAPO,05월 02일,,,,,
2608 MEGAPO,1207286666,래스팅 글로우 스틱,08월 02일,"1,608",254,89,15.80%,5.53%,,2607 MEGAPO,07월 02일,"2,086",368,119,17.64%,5.70%,,2605 MEGAPO,05월 02일,,,,,
2608 MEGAPO,1199698301,글레이즈 글로스,08월 02일,210,19,4,9.05%,1.90%,,2607 MEGAPO,07월 02일,397,38,7,9.57%,1.76%,,2605 MEGAPO,05월 02일,,,,,
2608 MEGAPO,1141569521,심리스 파데,08월 02일,"2,825",208,72,7.36%,2.55%,,2607 MEGAPO,07월 02일,"1,592",243,93,15.26%,5.84%,,2605 MEGAPO,05월 02일,967,148,44,15.31%,4.55%
2608 MEGAPO,1040221567,소블아,08월 02일,"10,854","1,132",377,10.43%,3.47%,,2607 MEGAPO,07월 02일,"5,163",533,164,10.32%,3.18%,,2605 MEGAPO,05월 02일,"2,493",397,122,15.92%,4.89%
2608 MEGAPO,1048694474,파데브러시,08월 02일,"1,893",338,113,17.86%,5.97%,,2607 MEGAPO,07월 02일,"2,979",704,231,23.63%,7.75%,,2605 MEGAPO,05월 02일,"1,564",210,41,13.43%,2.62%
2608 MEGAPO,1210215367,파데브러시미니듀오,08월 03일,,,,#DIV/0!,#DIV/0!,,2607 MEGAPO,07월 03일,,,,,,,2605 MEGAPO,05월 03일,,,,,
2608 MEGAPO,1207286666,래스팅 글로우 스틱,08월 03일,,,,#DIV/0!,#DIV/0!,,2607 MEGAPO,07월 03일,"3,756",513,163,13.66%,4.34%,,2605 MEGAPO,05월 03일,,,,,
2608 MEGAPO,1199698301,글레이즈 글로스,08월 03일,,,,#DIV/0!,#DIV/0!,,2607 MEGAPO,07월 03일,604,42,12,6.95%,1.99%,,2605 MEGAPO,05월 03일,,,,,
2608 MEGAPO,1141569521,심리스 파데,08월 03일,,,,#DIV/0!,#DIV/0!,,2607 MEGAPO,07월 03일,"1,599",250,89,15.63%,5.57%,,2605 MEGAPO,05월 03일,"1,017",150,52,14.75%,5.11%
