,,,,,,,,,,,,,,,,,,,,,,,,
event,code,제품,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율
Teaser Start,1125492693,혼합박스,08월 25일,,,,,,,,05월 26일,,,,,,,,02월 24일,,,,,
,1193917996,마리에 콜라보,08월 25일,,,,,,,,05월 26일,,,,,,,,02월 24일,,,,,
,1043733776,아이크림,08월 25일,,,,,,,,05월 26일,,,,,,,,02월 24일,,,,,
,1089751381,콜라겐 토너,08월 25일,,,,,,,,05월 26일,,,,,,,,02월 24일,,,,,
,1043733836,콜라겐 크림 단품,08월 25일,,,,,,,,05월 26일,,,,,,,,02월 24일,,,,,
,1043733766,아사츄르 요르탄,08월 25일,"9,331",491,15,5.26%,0.16%,,,05월 26일,"7,551",324,17,4.29%,0.23%,,,02월 24일,"12,684",850,52,6.70%,0.41%
,1102765780,기획박스,08월 25일,"5,545",226,0,4.08%,0.00%,,,05월 26일,"2,809",72,0,2.56%,0.00%,,,02월 24일,"9,155",490,26,5.35%,0.28%
,1193919062,콜겔 미스트,08월 25일,941,47,3,4.99%,0.32%,,,05월 26일,"2,319",136,9,5.86%,0.39%,,,02월 24일,,,,,
,1043733820,3d 단품,08월 25일,"2,059",130,13,6.31%,0.63%,,,05월 26일,"1,563",138,14,8.83%,0.90%,,,02월 24일,"2,566",364,30,14.19%,1.17%
,1184844785,nad단품,08월 25일,"1,503",77,4,5.12%,0.27%,,,05월 26일,"1,098",60,8,5.46%,0.73%,,,02월 24일,"4,903",305,12,6.22%,0.24%
,1125492693,혼합박스,08월 26일,,,,,,,,05월 27일,,,,,,,,02월 25일,,,,,
,1193917996,마리에 콜라보,08월 26일,,,,,,,,05월 27일,,,,,,,,02월 25일,,,,,
,1043733776,아이크림,08월 26일,,,,,,,,05월 27일,,,,,,,,02월 25일,,,,,
,1089751381,콜라겐 토너,08월 26일,,,,,,,,05월 27일,,,,,,,,02월 25일,,,,,
,1043733836,콜라겐 크림 단품,08월 26일,,,,,,,,05월 27일,,,,,,,,02월 25일,,,,,
,1043733766,아사츄르 요르탄,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1102765780,기획박스,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1193919062,콜겔 미스트,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,,
,1043733820,3d 단품,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1184844785,nad단품,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1125492693,혼합박스,08월 27일,,,,,,,,05월 28일,,,,,,,,02월 26일,,,,,
,1193917996,마리에 콜라보,08월 27일,,,,,,,,05월 28일,,,,,,,,02월 26일,,,,,
