,,,,,,,,,,,,,,,,
code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율,,code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율
1043733766,05월 29일,아사츄르 요르탄,"57,492","11,290","6,793",19.64%,60.17%,,1043733766,02월 27일,아사츄르 요르탄,"54,718","13,089","7,060",23.92%,53.94%
1102765780,05월 29일,기획박스,"19,137","2,475","1,205",12.93%,48.69%,,1102765780,02월 27일,기획박스,"26,809","3,486","1,627",13.00%,46.67%
1193919062,05월 29일,콜겔 미스트,"20,301","1,901",797,9.36%,41.93%,,1193919062,02월 27일,콜겔 미스트,,,,,
1125492693,05월 29일,혼합박스,"12,248","2,154","1,218",17.59%,56.55%,,1125492693,02월 27일,혼합박스,"10,684","2,256","1,205",21.12%,53.41%
1193917996,05월 29일,마리에 콜라보,"8,586","3,031","1,992",35.30%,65.72%,,1193917996,02월 27일,마리에 콜라보,"7,801","1,867",973,23.93%,52.12%
1043733820,05월 29일,3d 단품,"8,423","2,242","1,085",26.62%,48.39%,,1043733820,02월 27일,3d 단품,"9,302","3,012","1,635",32.38%,54.28%
1184844785,05월 29일,nad단품,"5,088",711,375,13.97%,52.74%,,1184844785,02월 27일,nad단품,"20,654","3,514","1,724",17.01%,49.06%
1043733776,05월 29일,아이크림,"4,254","1,113",574,26.16%,51.57%,,1043733776,02월 27일,아이크림,"3,813",978,540,25.65%,55.21%
1089751381,05월 29일,콜라겐 토너,"4,488",701,293,15.62%,41.80%,,1089751381,02월 27일,콜라겐 토너,,,,,
1043733836,05월 29일,콜라겐 크림 단품,"3,444",823,384,23.90%,46.66%,,1043733836,02월 27일,콜라겐 크림 단품,"3,488",825,446,23.65%,54.06%
1043733766,05월 30일,아사츄르 요르탄,"51,912","7,857","4,665",15.14%,59.37%,,1043733766,02월 28일,아사츄르 요르탄,"82,956","15,131","8,793",18.24%,58.11%
1102765780,05월 30일,기획박스,"15,494","1,809",778,11.68%,43.01%,,1102765780,02월 28일,기획박스,"35,443","3,733","1,654",10.53%,44.31%
