,,,,,,,,,,,,,,,,,,,,,,,,
event,code,제품,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율
Teaser Start,1199712593,짱구모음세트,08월 24일,,,,,,,,05월 25일,,,,,,,,02월 23일,,,,,
,1139779066,컬러커버틴트,08월 24일,"4,147",234,17,5.64%,0.41%,,,05월 25일,"2,359",130,11,5.51%,0.47%,,,02월 23일,"1,444",195,23,13.50%,1.59%
,1135003693,탕후루밀크,08월 24일,518,49,2,9.46%,0.39%,,,05월 25일,"1,195",46,4,3.85%,0.33%,,,02월 23일,"2,022",154,23,7.62%,1.14%
,1116473754,누디블러틴트,08월 24일,529,39,2,7.37%,0.38%,,,05월 25일,"1,144",33,1,2.88%,0.09%,,,02월 23일,682,54,1,7.92%,0.15%
,1189084084,탕후루딥글레이즈,08월 24일,664,52,1,7.83%,0.15%,,,05월 25일,762,23,2,3.02%,0.26%,,,02월 23일,"2,642",222,92,8.40%,3.48%
,1082531222,애교살메이커,08월 24일,365,27,5,7.40%,1.37%,,,05월 25일,522,7,0,1.34%,0.00%,,,02월 23일,130,16,0,12.31%,0.00%
,1082531220,입체창조쉐딩스틱,08월 24일,"3,870",76,9,1.96%,0.23%,,,05월 25일,387,46,7,11.89%,1.81%,,,02월 23일,113,21,2,18.58%,1.77%
,1145455669,립 듀오 세트,08월 24일,225,4,0,1.78%,0.00%,,,05월 25일,,,,,,,,02월 23일,,,,,
,1199712593,짱구모음세트,08월 25일,,,,,,,,05월 26일,,,,,,,,02월 24일,,,,,
,1139779066,컬러커버틴트,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,"2,350",161,9,6.85%,0.38%,,,02월 24일,,,,#DIV/0!,#DIV/0!
,1135003693,탕후루밀크,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,"1,200",37,2,3.08%,0.17%,,,02월 24일,"2,974",260,21,8.74%,0.71%
,1116473754,누디블러틴트,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,994,31,2,3.12%,0.20%,,,02월 24일,857,79,6,9.22%,0.70%
,1189084084,탕후루딥글레이즈,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,769,14,0,1.82%,0.00%,,,02월 24일,"10,269",941,202,9.16%,1.97%
,1082531222,애교살메이커,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,491,11,1,2.24%,0.20%,,,02월 24일,166,21,2,12.65%,1.20%
,1082531220,입체창조쉐딩스틱,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,462,66,6,14.29%,1.30%,,,02월 24일,145,18,2,12.41%,1.38%
,1145455669,립 듀오 세트,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,,,,,,,,02월 24일,,,,,
,1199712593,짱구모음세트,08월 26일,,,,,,,,05월 27일,,,,,,,,02월 25일,,,,,
,1139779066,컬러커버틴트,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1135003693,탕후루밀크,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1116473754,누디블러틴트,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1189084084,탕후루딥글레이즈,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1082531222,애교살메이커,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1082531220,입체창조쉐딩스틱,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1145455669,립 듀오 세트,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,,,,,02월 25일,,,,,
,1199712593,짱구모음세트,08월 27일,,,,,,,,05월 28일,,,,,,,,02월 26일,,,,,
,1139779066,컬러커버틴트,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,#DIV/0!,#DIV/0!,,,02월 26일,,,,#DIV/0!,#DIV/0!
,1135003693,탕후루밀크,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,#DIV/0!,#DIV/0!,,,02월 26일,,,,#DIV/0!,#DIV/0!
,1116473754,누디블러틴트,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,#DIV/0!,#DIV/0!,,,02월 26일,,,,#DIV/0!,#DIV/0!
,1189084084,탕후루딥글레이즈,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,#DIV/0!,#DIV/0!,,,02월 26일,,,,#DIV/0!,#DIV/0!
,1082531222,애교살메이커,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,#DIV/0!,#DIV/0!,,,02월 26일,,,,#DIV/0!,#DIV/0!
,1082531220,입체창조쉐딩스틱,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,#DIV/0!,#DIV/0!,,,02월 26일,,,,#DIV/0!,#DIV/0!
,1145455669,립 듀오 세트,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,,,,,02월 26일,,,,,
2609 MEGAWARI,1199712593,짱구모음세트,08월 28일,,,,,,,2606 MEGAWARI,05월 29일,"7,069","1,396",944,19.75%,13.35%,,2603 MEGAWARI,02월 27일,,,,,
2609 MEGAWARI,1139779066,컬러커버틴트,08월 28일,,,,#DIV/0!,#DIV/0!,,2606 MEGAWARI,05월 29일,"9,727","2,131","1,031",21.91%,10.60%,,2603 MEGAWARI,02월 27일,"4,239","1,126",523,26.56%,12.34%
2609 MEGAWARI,1135003693,탕후루밀크,08월 28일,,,,#DIV/0!,#DIV/0!,,2606 MEGAWARI,05월 29일,"5,785","1,132",515,19.57%,8.90%,,2603 MEGAWARI,02월 27일,"3,358",660,348,19.65%,10.36%
2609 MEGAWARI,1116473754,누디블러틴트,08월 28일,,,,#DIV/0!,#DIV/0!,,2606 MEGAWARI,05월 29일,"4,282",789,413,18.43%,9.65%,,2603 MEGAWARI,02월 27일,"2,481",462,184,18.62%,7.42%
2609 MEGAWARI,1189084084,탕후루딥글레이즈,08월 28일,,,,#DIV/0!,#DIV/0!,,2606 MEGAWARI,05월 29일,"5,551","1,480",855,26.66%,15.40%,,2603 MEGAWARI,02월 27일,"6,642",809,377,12.18%,5.68%
2609 MEGAWARI,1082531222,애교살메이커,08월 28일,,,,#DIV/0!,#DIV/0!,,2606 MEGAWARI,05월 29일,"3,264",492,231,15.07%,7.08%,,2603 MEGAWARI,02월 27일,"1,717",699,293,40.71%,17.06%
