,,,,,,,,,,,,,,,,
code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율,,code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율
1199712593,05월 29일,짱구모음세트,"7,069","1,396",944,19.75%,67.62%,,1199712593,02월 27일,짱구모음세트,,,,,
1139779066,05월 29일,컬러커버틴트,"9,727","2,131","1,031",21.91%,48.38%,,1139779066,02월 27일,컬러커버틴트,"4,239","1,126",523,26.56%,46.45%
1135003693,05월 29일,탕후루밀크,"5,785","1,132",515,19.57%,45.49%,,1135003693,02월 27일,탕후루밀크,"3,358",660,348,19.65%,52.73%
1116473754,05월 29일,누디블러틴트,"4,282",789,413,18.43%,52.34%,,1116473754,02월 27일,누디블러틴트,"2,481",462,184,18.62%,39.83%
1189084084,05월 29일,탕후루딥글레이즈,"5,551","1,480",855,26.66%,57.77%,,1189084084,02월 27일,탕후루딥글레이즈,"6,642",809,377,12.18%,46.60%
1082531222,05월 29일,애교살메이커,"3,264",492,231,15.07%,46.95%,,1082531222,02월 27일,애교살메이커,"1,717",699,293,40.71%,41.92%
1082531220,05월 29일,입체창조쉐딩스틱,"1,685",482,211,28.61%,43.78%,,1082531220,02월 27일,입체창조쉐딩스틱,411,96,58,23.36%,60.42%
1199712593,05월 30일,짱구모음세트,"5,972",703,322,11.77%,45.80%,,1199712593,02월 28일,짱구모음세트,,,,,
1139779066,05월 30일,컬러커버틴트,"9,447","1,290",607,13.66%,47.05%,,1139779066,02월 28일,컬러커버틴트,"5,450","1,180",561,21.65%,47.54%
1135003693,05월 30일,탕후루밀크,"4,189",701,226,16.73%,32.24%,,1135003693,02월 28일,탕후루밀크,"3,854",663,276,17.20%,41.63%
1116473754,05월 30일,누디블러틴트,"3,142",513,202,16.33%,39.38%,,1116473754,02월 28일,누디블러틴트,"3,295",588,254,17.85%,43.20%
1189084084,05월 30일,탕후루딥글레이즈,"5,490",949,421,17.29%,44.36%,,1189084084,02월 28일,탕후루딥글레이즈,"4,966",515,226,10.37%,43.88%
1082531222,05월 30일,애교살메이커,"2,568",310,109,12.07%,35.16%,,1082531222,02월 28일,애교살메이커,"1,948",520,273,26.69%,52.50%
1082531220,05월 30일,입체창조쉐딩스틱,"1,803",465,211,25.79%,45.38%,,1082531220,02월 28일,입체창조쉐딩스틱,538,119,66,22.12%,55.46%
1199712593,05월 31일,짱구모음세트,"4,425",552,213,12.47%,38.59%,,1199712593,03월 01일,짱구모음세트,,,,,
1139779066,05월 31일,컬러커버틴트,"7,220",964,388,13.35%,40.25%,,1139779066,03월 01일,컬러커버틴트,"3,871",789,440,20.38%,55.77%
