,,,,,,,,,,,,,,,,,,,,,,,,
event,code,제품,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율,,event,date,유입,장바구니,구매,장바구니 전환율,구매 전환율
Teaser Start,1150901464,갸루키티세트,08월 24일,,,,,,,,05월 25일,,,,,,,,02월 23일,,,,,
,1154100423,헬밤스틱,08월 24일,,,,,,,,05월 25일,,,,,,,,02월 23일,,,,,
,1125191395,철벽베이스세트,08월 24일,,,,,,,,05월 25일,,,,,,,,02월 23일,,,,,
,1040221567,소블아,08월 24일,"9,608",640,19,6.66%,0.20%,,,05월 25일,"27,864",571,8,2.05%,0.03%,,,02월 23일,"21,050","1,105",241,5.25%,1.14%
,1048694474,파데브러시,08월 24일,"2,410",233,12,9.67%,0.50%,,,05월 25일,"4,443",119,5,2.68%,0.11%,,,02월 23일,"9,079",661,119,7.28%,1.31%
,1172283012,쉐블치,08월 24일,836,70,3,8.37%,0.36%,,,05월 25일,"2,551",26,0,1.02%,0.00%,,,02월 23일,"7,823",661,167,8.45%,2.13%
,1141569521,심리스파데,08월 24일,"3,048",148,6,4.86%,0.20%,,,05월 25일,"3,448",87,3,2.52%,0.09%,,,02월 23일,"15,725",647,116,4.11%,0.74%
,1207286666,래스팅 글로우 스틱,08월 24일,"1,564",74,3,4.73%,0.19%,,,05월 25일,,,,,,,,02월 23일,,,,,
,1212654466,퍼펙팅 쿠션,08월 24일,329,0,0,0.00%,0.00%,,,05월 25일,,,,,,,,02월 23일,,,,,
,1150901464,갸루키티세트,08월 25일,,,,,,,,05월 26일,,,,,,,,02월 24일,,,,,
,1154100423,헬밤스틱,08월 25일,,,,,,,,05월 26일,,,,,,,,02월 24일,,,,,
,1125191395,철벽베이스세트,08월 25일,,,,,,,,05월 26일,,,,,,,,02월 24일,,,,,
,1040221567,소블아,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,"20,492",452,14,2.21%,0.07%,,,02월 24일,"18,422",281,10,1.53%,0.05%
,1048694474,파데브러시,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,"4,503",167,8,3.71%,0.18%,,,02월 24일,"7,878",259,14,3.29%,0.18%
,1172283012,쉐블치,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,188,25,1,13.30%,0.53%,,,02월 24일,"5,592",113,5,2.02%,0.09%
,1141569521,심리스파데,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,"3,361",91,4,2.71%,0.12%,,,02월 24일,"10,062",173,10,1.72%,0.10%
,1207286666,래스팅 글로우 스틱,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,,,,,,,,02월 24일,,,,,
,1212654466,퍼펙팅 쿠션,08월 25일,,,,#DIV/0!,#DIV/0!,,,05월 26일,,,,,,,,02월 24일,,,,,
,1150901464,갸루키티세트,08월 26일,,,,,,,,05월 27일,,,,,,,,02월 25일,,,,,
,1154100423,헬밤스틱,08월 26일,,,,,,,,05월 27일,,,,,,,,02월 25일,,,,,
,1125191395,철벽베이스세트,08월 26일,,,,,,,,05월 27일,,,,,,,,02월 25일,,,,,
,1040221567,소블아,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1048694474,파데브러시,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1172283012,쉐블치,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1141569521,심리스파데,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,#DIV/0!,#DIV/0!,,,02월 25일,,,,#DIV/0!,#DIV/0!
,1207286666,래스팅 글로우 스틱,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,,,,,02월 25일,,,,,
,1212654466,퍼펙팅 쿠션,08월 26일,,,,#DIV/0!,#DIV/0!,,,05월 27일,,,,,,,,02월 25일,,,,,
,1150901464,갸루키티세트,08월 27일,,,,,,,,05월 28일,,,,,,,,02월 26일,,,,,
,1154100423,헬밤스틱,08월 27일,,,,,,,,05월 28일,,,,,,,,02월 26일,,,,,
,1125191395,철벽베이스세트,08월 27일,,,,,,,,05월 28일,,,,,,,,02월 26일,,,,,
,1040221567,소블아,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,#DIV/0!,#DIV/0!,,,02월 26일,,,,#DIV/0!,#DIV/0!
,1048694474,파데브러시,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,#DIV/0!,#DIV/0!,,,02월 26일,,,,#DIV/0!,#DIV/0!
,1172283012,쉐블치,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,#DIV/0!,#DIV/0!,,,02월 26일,,,,#DIV/0!,#DIV/0!
,1141569521,심리스파데,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,#DIV/0!,#DIV/0!,,,02월 26일,,,,#DIV/0!,#DIV/0!
,1207286666,래스팅 글로우 스틱,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,,,,,02월 26일,,,,,
,1212654466,퍼펙팅 쿠션,08월 27일,,,,#DIV/0!,#DIV/0!,,,05월 28일,,,,,,,,02월 26일,,,,,
2609 MEGAWARI,1150901464,갸루키티세트,08월 28일,,,,,,,2606 MEGAWARI,05월 29일,"31,900","6,747","3,833",21.15%,12.02%,,2603 MEGAWARI,02월 27일,"18,607","5,287","2,913",28.41%,15.66%
2609 MEGAWARI,1154100423,헬밤스틱,08월 28일,,,,,,,2606 MEGAWARI,05월 29일,"7,893","1,992","1,202",25.24%,15.23%,,2603 MEGAWARI,02월 27일,"9,787",936,415,9.56%,4.24%
2609 MEGAWARI,1125191395,철벽베이스세트,08월 28일,,,,,,,2606 MEGAWARI,05월 29일,"2,485",117,57,4.71%,2.29%,,2603 MEGAWARI,02월 27일,0,0,0,,
2609 MEGAWARI,1040221567,소블아,08월 28일,,,,#DIV/0!,#DIV/0!,,2606 MEGAWARI,05월 29일,"125,974","22,845","11,725",18.13%,9.31%,,2603 MEGAWARI,02월 27일,"62,921","13,451","6,413",21.38%,10.19%
2609 MEGAWARI,1048694474,파데브러시,08월 28일,,,,#DIV/0!,#DIV/0!,,2606 MEGAWARI,05월 29일,"22,750","6,611","3,188",29.06%,14.01%,,2603 MEGAWARI,02월 27일,"19,362","5,873","2,583",30.33%,13.34%
