,,,,,,,,,,,,,,,,,,,,,,,,,,
code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율,,,code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율,,code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율
1150901464,05월 29일,갸루키티세트,"31,900","6,747","3,833",21.15%,56.81%,,,1150901464,05월 29일,갸루키티세트,"31,900","6,747","3,833",21.15%,56.81%,,1125191395,02월 27일,갸루키티세트,"18,607","5,287","2,913",28.41%,55.10%
1040221567,05월 29일,소블아,"125,974","22,845","11,725",71.61%,173.78%,,,1040221567,05월 29일,소블아,"125,974","22,845","11,725",71.61%,173.78%,,1040221567,02월 27일,소블아,"62,921","13,451","6,413",21.38%,47.68%
1048694474,05월 29일,파데브러시,"22,750","6,611",3188,20.72%,47.25%,,,1048694474,05월 29일,파데브러시,"22,750","6,611",3188,20.72%,47.25%,,1048694474,02월 27일,파데브러시,"19,362","5,873",2583,30.33%,43.98%
1172283012,05월 29일,쉐블치,"18,906","4,813","2,803",15.09%,41.54%,,,1172283012,05월 29일,쉐블치,"18,906","4,813","2,803",15.09%,41.54%,,1172283012,02월 27일,쉐블치,"13,745","3,273","1,600",23.81%,48.88%
1141569521,05월 29일,심리스파데,"15,027","2,996","1,497",9.39%,22.19%,,,1141569521,05월 29일,심리스파데,"15,027","2,996","1,497",9.39%,22.19%,,1141569521,02월 27일,심리스파데,"28,606","4,497","2,183",15.72%,48.54%
1154100423,05월 29일,헬밤스틱,"7,893","1,992","1,202",6.24%,17.82%,,,1154100423,05월 29일,헬밤스틱,"7,893","1,992","1,202",6.24%,17.82%,,1154100423,02월 27일,헬밤스틱,"9,787",936,415,9.56%,44.34%
1125191395,05월 29일,철벽베이스세트,"2,485",117,57,0.37%,0.84%,,,1125191395,05월 29일,철벽베이스세트,"2,485",117,57,0.37%,0.84%,,,02월 27일,철벽베이스세트,0,0,0,0.00%,0.00%
1150901464,05월 30일,갸루키티세트,"25,537","3,659",1427,11.47%,21.15%,,,1150901464,05월 30일,갸루키티세트,"25,537","3,659",1427,11.47%,21.15%,,1125191395,02월 28일,갸루키티세트,"11,881",0,0,0.00%,0.00%
1040221567,05월 30일,소블아,"134,171",18583,7273,58.25%,107.80%,,,1040221567,05월 30일,소블아,"134,171",18583,7273,58.25%,107.80%,,1040221567,02월 28일,소블아,"90,716","12,093","4,517",13.33%,37.35%
1048694474,05월 30일,파데브러시,"19,134",4202,1473,13.17%,21.83%,,,1048694474,05월 30일,파데브러시,"19,134",4202,1473,13.17%,21.83%,,1048694474,02월 28일,파데브러시,"33,653","9,299",4487,27.63%,48.25%
1172283012,05월 30일,쉐블치,"14,103","2,970","1,346",9.31%,19.95%,,,1172283012,05월 30일,쉐블치,"14,103","2,970","1,346",9.31%,19.95%,,1172283012,02월 28일,쉐블치,"13,737",979,326,7.13%,33.30%
1141569521,05월 30일,심리스파데,"11,529","2,145",822,6.72%,12.18%,,,1141569521,05월 30일,심리스파데,"11,529","2,145",822,6.72%,12.18%,,1141569521,02월 28일,심리스파데,"28,904","4,422","1,708",15.30%,38.63%
1154100423,05월 30일,헬밤스틱,"6,828","1,334",611,4.18%,9.06%,,,1154100423,05월 30일,헬밤스틱,"6,828","1,334",611,4.18%,9.06%,,1154100423,02월 28일,헬밤스틱,"10,060",355,127,3.53%,35.77%
1125191395,05월 30일,철벽베이스세트,"2,204",98,29,0.31%,0.43%,,,1125191395,05월 30일,철벽베이스세트,"2,204",98,29,0.31%,0.43%,,,02월 28일,철벽베이스세트,0,0,0,0.00%,0.00%
1150901464,05월 31일,갸루키티세트,"12,994","1,563",572,4.90%,8.48%,,,1150901464,05월 31일,갸루키티세트,"12,994","1,563",572,4.90%,8.48%,,1125191395,03월 01일,갸루키티세트,"6,102",0,0,0.00%,0.00%
1040221567,05월 31일,소블아,"65,607","8,471","3,673",26.55%,54.44%,,,1040221567,05월 31일,소블아,"65,607","8,471","3,673",26.55%,54.44%,,1040221567,03월 01일,소블아,"58,448","6,651","2,945",11.38%,44.28%
1048694474,05월 31일,파데브러시,"11,958",2434,846,7.63%,12.54%,,,1048694474,05월 31일,파데브러시,"11,958",2434,846,7.63%,12.54%,,1048694474,03월 01일,파데브러시,"17,952","3,312",1212,18.45%,36.59%
1172283012,05월 31일,쉐블치,"8,373","1,415",646,4.44%,9.57%,,,1172283012,05월 31일,쉐블치,"8,373","1,415",646,4.44%,9.57%,,1172283012,03월 01일,쉐블치,"6,648",351,140,5.28%,39.89%
1141569521,05월 31일,심리스파데,"8,983",1282,486,4.02%,7.20%,,,1141569521,05월 31일,심리스파데,"8,983",1282,486,4.02%,7.20%,,1141569521,03월 01일,심리스파데,"49,988","7,239","4,426",14.48%,61.14%
1154100423,05월 31일,헬밤스틱,"3,999",554,250,1.74%,3.71%,,,1154100423,05월 31일,헬밤스틱,"3,999",554,250,1.74%,3.71%,,1154100423,03월 01일,헬밤스틱,"5,653",280,93,4.95%,33.21%
1125191395,05월 31일,철벽베이스세트,"1,435",60,16,0.19%,0.24%,,,1125191395,05월 31일,철벽베이스세트,"1,435",60,16,0.19%,0.24%,,,03월 01일,철벽베이스세트,0,0,0,0.00%,0.00%
1150901464,06월 01일,갸루키티세트,"10,266","1,066",527,3.34%,7.81%,,,1150901464,06월 01일,갸루키티세트,"10,266","1,066",527,3.34%,7.81%,,1125191395,03월 02일,갸루키티세트,"2,627",0,0,0.00%,0.00%
1040221567,06월 01일,소블아,"58,685","6,915","3,697",21.68%,54.79%,,,1040221567,06월 01일,소블아,"58,685","6,915","3,697",21.68%,54.79%,,1040221567,03월 02일,소블아,"30,140","2,641","1,041",8.76%,39.42%
1048694474,06월 01일,파데브러시,"9,303",1932,835,6.06%,12.38%,,,1048694474,06월 01일,파데브러시,"9,303",1932,835,6.06%,12.38%,,1048694474,03월 02일,파데브러시,"8,122","1,384",527,17.04%,38.08%
1172283012,06월 01일,쉐블치,"6,030","1,105",663,3.46%,9.83%,,,1172283012,06월 01일,쉐블치,"6,030","1,105",663,3.46%,9.83%,,1172283012,03월 02일,쉐블치,"3,687",151,59,4.10%,39.07%
1141569521,06월 01일,심리스파데,"6,057",896,492,2.81%,7.29%,,,1141569521,06월 01일,심리스파데,"6,057",896,492,2.81%,7.29%,,1141569521,03월 02일,심리스파데,"15,013","1,849",816,12.32%,44.13%
1154100423,06월 01일,헬밤스틱,"2,569",493,284,1.55%,4.21%,,,1154100423,06월 01일,헬밤스틱,"2,569",493,284,1.55%,4.21%,,1154100423,03월 02일,헬밤스틱,"3,083",132,43,4.28%,32.58%
1125191395,06월 01일,철벽베이스세트,819,42,17,0.13%,0.25%,,,1125191395,06월 01일,철벽베이스세트,819,42,17,0.13%,0.25%,,,03월 02일,철벽베이스세트,0,0,0,0.00%,0.00%
1150901464,06월 02일,갸루키티세트,"9,639",731,353,2.29%,5.23%,,,1150901464,06월 02일,갸루키티세트,"9,639",731,353,2.29%,5.23%,,1125191395,03월 03일,갸루키티세트,"2,442",0,0,0.00%,0.00%
1040221567,06월 02일,소블아,"41,366","5,392","3,452",16.90%,51.16%,,,1040221567,06월 02일,소블아,"41,366","5,392","3,452",16.90%,51.16%,,1040221567,03월 03일,소블아,"29,758","2,944","1,282",9.89%,43.55%
1048694474,06월 02일,파데브러시,"8,643",1771,896,5.55%,13.28%,,,1048694474,06월 02일,파데브러시,"8,643",1771,896,5.55%,13.28%,,1048694474,03월 03일,파데브러시,"7,767","1,271",588,16.36%,46.26%
1172283012,06월 02일,쉐블치,"5,732",958,586,3.00%,8.69%,,,1172283012,06월 02일,쉐블치,"5,732",958,586,3.00%,8.69%,,1172283012,03월 03일,쉐블치,"3,238",160,61,4.94%,38.13%
1141569521,06월 02일,심리스파데,"6,709",839,505,2.63%,7.48%,,,1141569521,06월 02일,심리스파데,"6,709",839,505,2.63%,7.48%,,1141569521,03월 03일,심리스파데,"12,162","1,399",739,11.50%,52.82%
1154100423,06월 02일,헬밤스틱,"3,330",330,207,1.03%,3.07%,,,1154100423,06월 02일,헬밤스틱,"3,330",330,207,1.03%,3.07%,,1154100423,03월 03일,헬밤스틱,"2,636",114,47,4.32%,41.23%
1125191395,06월 02일,철벽베이스세트,867,40,17,0.13%,0.25%,,,1125191395,06월 02일,철벽베이스세트,867,40,17,0.13%,0.25%,,,03월 03일,철벽베이스세트,0,0,0,0.00%,0.00%
1150901464,06월 03일,갸루키티세트,"8,759",683,239,2.14%,3.54%,,,1150901464,06월 03일,갸루키티세트,"8,759",683,239,2.14%,3.54%,,1125191395,03월 04일,갸루키티세트,"2,532",0,0,0.00%,0.00%
1040221567,06월 03일,소블아,"33,913","4,918","2,397",15.42%,35.53%,,,1040221567,06월 03일,소블아,"33,913","4,918","2,397",15.42%,35.53%,,1040221567,03월 04일,소블아,"49,581","5,106","2,697",10.30%,52.82%
1048694474,06월 03일,파데브러시,"8,648",2026,760,6.35%,11.26%,,,1048694474,06월 03일,파데브러시,"8,648",2026,760,6.35%,11.26%,,1048694474,03월 04일,파데브러시,"7,926","1,491",607,18.81%,40.71%
1172283012,06월 03일,쉐블치,"6,357",957,414,3.00%,6.14%,,,1172283012,06월 03일,쉐블치,"6,357",957,414,3.00%,6.14%,,1172283012,03월 04일,쉐블치,"3,645",225,67,6.17%,29.78%
1141569521,06월 03일,심리스파데,"6,436",1003,413,3.14%,6.12%,,,1141569521,06월 03일,심리스파데,"6,436",1003,413,3.14%,6.12%,,1141569521,03월 04일,심리스파데,"10,736","1,076",431,10.02%,40.06%
1154100423,06월 03일,헬밤스틱,"3,594",343,148,1.08%,2.19%,,,1154100423,06월 03일,헬밤스틱,"3,594",343,148,1.08%,2.19%,,1154100423,03월 04일,헬밤스틱,"4,664",139,57,2.98%,41.01%
1125191395,06월 03일,철벽베이스세트,"1,384",45,15,0.14%,0.22%,,,1125191395,06월 03일,철벽베이스세트,"1,384",45,15,0.14%,0.22%,,,03월 04일,철벽베이스세트,0,0,0,0.00%,0.00%
1150901464,06월 04일,갸루키티세트,"7,104",387,122,1.21%,1.81%,,,1150901464,06월 04일,갸루키티세트,"7,104",387,122,1.21%,1.81%,,1125191395,03월 05일,갸루키티세트,"2,927",0,0,0.00%,0.00%
1040221567,06월 04일,소블아,"33,997","4,165","2,010",13.06%,29.79%,,,1040221567,06월 04일,소블아,"33,997","4,165","2,010",13.06%,29.79%,,1040221567,03월 05일,소블아,"25,473","1,896",707,7.44%,37.29%
1048694474,06월 04일,파데브러시,"7,257",1399,579,4.39%,8.58%,,,1048694474,06월 04일,파데브러시,"7,257",1399,579,4.39%,8.58%,,1048694474,03월 05일,파데브러시,"6,354","1,017",368,16.01%,36.18%
1172283012,06월 04일,쉐블치,"5,692",784,376,2.46%,5.57%,,,1172283012,06월 04일,쉐블치,"5,692",784,376,2.46%,5.57%,,1172283012,03월 05일,쉐블치,"5,782",449,192,7.77%,42.76%
1141569521,06월 04일,심리스파데,"6,430",797,354,2.50%,5.25%,,,1141569521,06월 04일,심리스파데,"6,430",797,354,2.50%,5.25%,,1141569521,03월 05일,심리스파데,"10,191",904,385,8.87%,42.59%
