프로모션 정리,,,,,,,
시작일,종료일,행사 등급,프로모션명,브랜드,리테일,예산,메모
2025-01-01,2025-01-08,B,2501 하츠우리·오쇼가츠 (Qoo10),Total,Qoo10,,Qoo10 일본몰 신년 세일
2025-01-02,2025-01-08,B,2501 하츠우리·오쇼가츠 (RKT),Total,RKT,,"라쿠텐 마켓/슈퍼세일 신년 세일, 1/2 시작 일반적 youtube"
2025-01-09,2025-01-15,S,2501 라쿠텐 슈퍼세일,Total,RKT,,RKT 분기별 슈퍼세일
2025-01-24,2025-01-28,B,2501 오카이모노 마라톤,Total,RKT,,RKT 마라톤 (1차)
2025-02-01,2025-02-08,A,2502 메가포,Total,Qoo10,,Qoo10 메가포
2025-02-04,2025-02-10,B,2502 오카이모노 마라톤,Total,RKT,,RKT 마라톤
2025-02-19,2025-02-20,B,2502 오카이모노 마라톤,Total,RKT,,RKT 마라톤 (2회차)
2025-02-28,2025-03-12,S,251Q 메가와리 본행사,Total,Qoo10,,"Qoo10 1Q 메가와리, 12일 진행 youtube"
2025-03-13,2025-03-14,A,251Q 애프터 메가와리,Total,Qoo10,,짧은 후속 행사
2025-03-04,2025-03-10,S,2503 라쿠텐 슈퍼세일,Total,RKT,,RKT 분기별 슈퍼세일
2025-03-21,2025-03-26,B,2503 오카이모노 마라톤,Total,RKT,,RKT 마라톤
2025-04-01,2025-04-08,A,2504 메가포,Total,Qoo10,,Qoo10 메가포
2025-04-04,2025-04-10,B,2504 오카이모노 마라톤,Total,RKT,,RKT 마라톤
2025-05-01,2025-05-08,A,2505 메가포,Total,Qoo10,,Qoo10 메가포
2025-05-09,2025-05-15,S,2505 라쿠텐 슈퍼세일,Total,RKT,,RKT 분기별 슈퍼세일
2025-05-23,2025-05-26,B,2505 오카이모노 마라톤,Total,RKT,,RKT 마라톤
2025-05-31,2025-06-12,S,252Q 메가와리 본행사,Total,Qoo10,,"Qoo10 2Q 메가와리, 12일 진행 youtube"
2025-06-04,2025-06-07,B,2506 오카이모노 마라톤,Total,RKT,,RKT 마라톤
2025-07-01,2025-07-09,A,2507 메가포,Total,Qoo10,,Qoo10 메가포
2025-07-04,2025-07-10,S,2507 라쿠텐 슈퍼세일,Total,RKT,,RKT 분기별 슈퍼세일
2025-07-19,2025-07-25,B,2507 오카이모노 마라톤,Total,RKT,,RKT 마라톤
2025-08-01,2025-08-09,A,2508 메가포,Total,Qoo10,,Qoo10 메가포
2025-08-04,2025-08-27,B,2508 오카이모노 마라톤,Total,RKT,,RKT 마라톤 (장기회차)
